대여소번호,대여소명,자치구,도로명주소,위도,경도,대여건수
283,아크로타워 스퀘어(영등포시장),영등포구,영등포구 영등포동7가 3-2,37.522518,126.907219,18104
825,서빙고동 주민센터 앞,용산구,서울특별시 용산구 서빙고로 279,37.520336,126.994263,18009
996,응암역 1번출구,은평구,응암동471-6,37.598606,126.915405,17992
102,망원역 1번출구 앞,마포구,서울특별시 마포구 월드컵로 72,37.555649,126.910629,17992
211,여의도역 4번출구 옆,영등포구,서울특별시 영등포구 의사당대로 88,37.521362,126.923462,17952
3518,군자역 7번출구뒤,광진구,서울특별시 광진구 천호대로 지하 550,37.556862,127.07914,17931
418,월드컵경기장역 3번출구 옆,마포구,서울특별시 마포구 월드컵로 지하240,37.570721,126.898979,17923
1637,KT 노원점 건물 앞,노원구,서울특별시 노원구 노해로 489,37.654701,127.0634,17916
1610,화랑대역 2번출구 앞,노원구,서울특별시 노원구 화랑로 지하 510,37.620369,127.083641,17827
2220,반포본동 주민센터 앞,서초구,서울특별시 서초구 신반포로 10,37.500614,126.98616,17776
2301,현대고등학교 건너편,강남구,서울특별시 강남구 압구정로 134,37.524071,127.02179,17753
1721,창동역 2번출구,도봉구,서울특별시 창동 74-2 ,37.653015,127.046997,17503
