,title,addr,score
390,드론이야기,서울 송파구 중대로 212,4.5
391,돼고파 본점,서울 송파구 백제고분로9길 51 1층,4.8
392,함평육회 본점,서울 송파구 올림픽로32길 22-19 1층,3.9
393,72420 송파직영점,서울 송파구 백제고분로45길 12,3.8
394,24시비사벌 전주콩나물국밥 송파점,서울 송파구 백제고분로 181,4.1
395,쿠치나디까사 문정점,"서울 송파구 송파대로 201 송파테라타워2 A동 1층 A-110,111호",2.3
396,통,서울 송파구 위례성대로18길 14,4.4
397,케키하우스,서울 송파구 백제고분로41길 35 2층,4.1
398,별미곱창 방이3호점,서울 송파구 오금로11길 14 1층,3.0
399,잠실황소곱창,서울 송파구 삼학사로19길 5,3.9
400,장털보설렁탕 본점,서울 송파구 중대로 288,3.2
401,오발탄 송파점,서울 송파구 위례성대로 206,3.6
402,몬스터핸드보드카페 방이점,서울 송파구 오금로13길 9 4층,3.2
403,빽돈 방이점,서울 송파구 올림픽로32길 29 유성빌딩 1층,4.5
404,냠냠물고기 루프탑라운지,서울 송파구 송이로 135 6층,4.0
405,사케쇼프,서울 송파구 오금로16길 12,3.2
406,연발탄숯불양대창구이,서울 송파구 오금로13길 10 1층,4.9
407,경미양꼬치,서울 송파구 올림픽로32길 18-21,4.7
408,스타벅스 문정역점,서울 송파구 송파대로 167,4.0
409,하남춘천골닭갈비,서울 송파구 오금로13길 12,4.1
410,카페마마스 잠실점,서울 송파구 올림픽로 269 롯데캐슬골드 1층,2.2
411,세이류,서울 송파구 올림픽로35가길 9,4.7
412,벌툰 잠실새내점,서울 송파구 백제고분로7길 27 반석빌딩 3층,4.1
413,미스터스시 가락시장점,서울 송파구 중대로 121 송파롯데캐슬파인힐 101-2호,3.0
414,당산오돌 잠실신천점,서울 송파구 백제고분로9길 31 1층,3.2
415,랜돌프비어,서울 송파구 백제고분로7길 58 2층,3.1
416,무교동유정낙지 잠실점,서울 송파구 백제고분로 89,3.3
417,개나리아구찜 송파점,서울 송파구 가락로 259 1층,4.3
418,백암왕순대,서울 송파구 위례성대로18길 27-6,3.9
419,비엔나커피하우스 송파사거리점,서울 송파구 가락로 114 신우빌딩 1층 102호,4.5
420,군자대한곱창 문정역점,"서울 송파구 법원로 114 엠스테이트 A동 1층 114,115호",3.1
421,맥도날드 석촌역점,서울 송파구 백제고분로 390,2.4
422,한림돈가 방이점,서울 송파구 오금로15길 4 1층,4.6
423,나주곰탕,서울 송파구 백제고분로 271,2.9
424,금바위감자탕 가락본점,서울 송파구 중대로 120,3.4
425,도키도키키친,서울 송파구 백제고분로41길 18 1층,4.8
426,굿바이브,서울 송파구 올림픽로32길 23 2층,2.6
427,삼촌네포차,서울 송파구 가락로 148,4.3
428,장원곱창,서울 송파구 올림픽로32길 9,3.3
429,유타로 가락점,서울 송파구 송파대로28길 24 밀리아나오피스텔 105호,3.7
430,설빙 석촌호수동호점,서울 송파구 석촌호수로 278 여흥레이크빌 1층,2.4
431,갯마을,서울 송파구 백제고분로34길 41,3.8
432,살롱드쥬,서울 송파구 위례성대로12길 4 1층,4.0
433,청담초밥 문정점,서울 송파구 법원로4길 5,2.4
434,수다감자탕,서울 송파구 백제고분로41길 16 1층,4.2
435,문가네정육식당,서울 송파구 새말로 125,4.3
436,투썸플레이스 잠실역점,서울 송파구 올림픽로35다길 32 예전빌딩1층,3.4
437,스타쉐프,서울 송파구 위례성대로 134 5층,3.9
438,옹고집꽃게장,서울 송파구 새말로 175,3.0
439,용호동낙지 방이점,서울 송파구 오금로11길 30 1층 101호,1.8
440,시그니엘서울 비채나,서울 송파구 올림픽로 300 81층,3.8
441,돈사돈 방이점,서울 송파구 올림픽로34길 20-1,3.8
442,신천무한리필,서울 송파구 백제고분로9길 53,3.2
443,라무진 잠실방이점,서울 송파구 오금로11길 11-8 108호,3.7
444,삽다리손칼국수,서울 송파구 올림픽로8길 23,3.7
445,지오커피 문정점,서울 송파구 새말로 97,2.3
446,스타벅스 송파개롱역점,서울 송파구 오금로 420,2.8
447,도토리편백집 문정법조단지점,서울 송파구 법원로 127 대명벨리온 1층 116호,2.3
448,서가앤쿡 서울잠실점,서울 송파구 석촌호수로 176 3층,3.7
449,스시다원,서울 송파구 삼전로12길 6 1층,3.2
